公司简称,A股代码,所属行业,
金洲管道,002443,C制造业,
巨星科技,002444,C制造业,
ST中南,002445,R文化传播,
盛路通信,002446,C制造业,
晨鑫科技,002447,I信息技术,
中原内配,002448,C制造业,
国星光电,002449,C制造业,
ST康得新,002450,C制造业,
摩恩电气,002451,C制造业,
长高集团,002452,C制造业,
华软科技,002453,C制造业,
松芝股份,002454,C制造业,
百川股份,002455,C制造业,
欧菲科技,002456,C制造业,
青龙管业,002457,C制造业,
益生股份,002458,A农林牧渔,
天业通联,002459,C制造业,
赣锋锂业,002460,C制造业,
珠江啤酒,002461,C制造业,
嘉事堂,002462,F批发零售,
沪电股份,002463,C制造业,
众应互联,002464,I信息技术,
海格通信,002465,C制造业,
天齐锂业,002466,C制造业,
二六三,002467,I信息技术,
申通快递,002468,G运输仓储,
三维工程,002469,M科研服务,
金正大,002470,C制造业,
中超控股,002471,C制造业,
双环传动,002472,C制造业,
*ST圣莱,002473,C制造业,
榕基软件,002474,I信息技术,
立讯精密,002475,C制造业,
宝莫股份,002476,C制造业,
雏鹰农牧,002477,A农林牧渔,
常宝股份,002478,C制造业,
富春环保,002479,D水电煤气,
新筑股份,002480,C制造业,
双塔食品,002481,C制造业,
广田集团,002482,E建筑业,
润邦股份,002483,C制造业,
江海股份,002484,C制造业,
希努尔,002485,C制造业,
嘉麟杰,002486,C制造业,
大金重工,002487,C制造业,
金固股份,002488,C制造业,
浙江永强,002489,C制造业,
山东墨龙,002490,C制造业,
通鼎互联,002491,C制造业,
恒基达鑫,002492,G运输仓储,
荣盛石化,002493,C制造业,
华斯股份,002494,C制造业,
佳隆股份,002495,C制造业,
辉丰股份,002496,C制造业,
雅化集团,002497,C制造业,
汉缆股份,002498,C制造业,
科林环保,002499,D水电煤气,
山西证券,002500,J金融业,
利源精制,002501,C制造业,
骅威文化,002502,R文化传播,
搜于特,002503,C制造业,
弘高创意,002504,E建筑业,
大康农业,002505,F批发零售,
协鑫集成,002506,C制造业,
涪陵榨菜,002507,C制造业,
老板电器,002508,C制造业,
天广中茂,002509,C制造业,
天汽模,002510,C制造业,
中顺洁柔,002511,C制造业,
达华智能,002512,C制造业,
蓝丰生化,002513,C制造业,
宝馨科技,002514,C制造业,
金字火腿,002515,C制造业,
旷达科技,002516,C制造业,
恺英网络,002517,I信息技术,
科士达,002518,C制造业,
银河电子,002519,C制造业,
日发精机,002520,C制造业,
齐峰新材,002521,C制造业,
浙江众成,002522,C制造业,
天桥起重,002523,C制造业,
光正集团,002524,D水电煤气,
山东矿机,002526,C制造业,
新时达,002527,C制造业,
英飞拓,002528,C制造业,
海源复材,002529,C制造业,
金财互联,002530,I信息技术,
天顺风能,002531,C制造业,
新界泵业,002532,C制造业,
金杯电工,002533,C制造业,
杭锅股份,002534,C制造业,
林州重机,002535,C制造业,
西泵股份,002536,C制造业,
海联金汇,002537,C制造业,
司尔特,002538,C制造业,
云图控股,002539,C制造业,
亚太科技,002540,C制造业,
鸿路钢构,002541,C制造业,
中化岩土,002542,E建筑业,
万和电气,002543,C制造业,
杰赛科技,002544,I信息技术,
东方铁塔,002545,C制造业,
新联电子,002546,C制造业,
春兴精工,002547,C制造业,
金新农,002548,C制造业,
凯美特气,002549,N公共环保,
千红制药,002550,C制造业,
尚荣医疗,002551,C制造业,
*ST宝鼎,002552,C制造业,
南方轴承,002553,C制造业,
惠博普,002554,B采矿业,
三七互娱,002555,I信息技术,
辉隆股份,002556,F批发零售,
洽洽食品,002557,C制造业,
巨人网络,002558,I信息技术,
亚威股份,002559,C制造业,
通达股份,002560,C制造业,
徐家汇,002561,F批发零售,
兄弟科技,002562,C制造业,
森马服饰,002563,C制造业,
天沃科技,002564,M科研服务,
顺灏股份,002565,C制造业,
益盛药业,002566,C制造业,
唐人神,002567,C制造业,
百润股份,002568,C制造业,
步森股份,002569,C制造业,
*ST因美,002570,C制造业,
德力股份,002571,C制造业,
索菲亚,002572,C制造业,
清新环境,002573,N公共环保,
明牌珠宝,002574,C制造业,
群兴玩具,002575,C制造业,
通达动力,002576,C制造业,
雷柏科技,002577,C制造业,
闽发铝业,002578,C制造业,
中京电子,002579,C制造业,
圣阳股份,002580,C制造业,
未名医药,002581,C制造业,
好想你,002582,C制造业,
海能达,002583,C制造业,
西陇科学,002584,C制造业,
双星新材,002585,C制造业,
围海股份,002586,E建筑业,
奥拓电子,002587,C制造业,
史丹利,002588,C制造业,
瑞康医药,002589,F批发零售,
万安科技,002590,C制造业,
恒大高新,002591,C制造业,
八菱科技,002592,C制造业,
日上集团,002593,C制造业,
比亚迪,002594,C制造业,
豪迈科技,002595,C制造业,
海南瑞泽,002596,C制造业,
金禾实业,002597,C制造业,
山东章鼓,002598,C制造业,
盛通股份,002599,C制造业,
领益智造,002600,C制造业,
龙蟒佰利,002601,C制造业,
世纪华通,002602,C制造业,
以岭药业,002603,C制造业,
*ST龙力,002604,C制造业,
姚记扑克,002605,C制造业,
大连电瓷,002606,C制造业,
中公教育,002607,F批发零售,
江苏国信,002608,D水电煤气,
捷顺科技,002609,I信息技术,
爱康科技,002610,C制造业,
东方精工,002611,C制造业,
朗姿股份,002612,C制造业,
北玻股份,002613,C制造业,
奥佳华,002614,C制造业,
哈尔斯,002615,C制造业,
长青集团,002616,C制造业,
露笑科技,002617,C制造业,
丹邦科技,002618,C制造业,
艾格拉斯,002619,I信息技术,
瑞和股份,002620,E建筑业,
三垒股份,002621,P教育,
融钰集团,002622,C制造业,
亚玛顿,002623,C制造业,
完美世界,002624,I信息技术,
光启技术,002625,C制造业,
金达威,002626,C制造业,
宜昌交运,002627,G运输仓储,
成都路桥,002628,E建筑业,
仁智股份,002629,B采矿业,
华西能源,002630,C制造业,
德尔未来,002631,C制造业,
道明光学,002632,C制造业,
申科股份,002633,C制造业,
棒杰股份,002634,C制造业,
安洁科技,002635,C制造业,
金安国纪,002636,C制造业,
赞宇科技,002637,C制造业,
勤上股份,002638,C制造业,
雪人股份,002639,C制造业,
跨境通,002640,F批发零售,
永高股份,002641,C制造业,
荣之联,002642,I信息技术,
万润股份,002643,C制造业,
佛慈制药,002644,C制造业,
华宏科技,002645,C制造业,
青青稞酒,002646,C制造业,
仁东控股,002647,J金融业,
卫星石化,002648,C制造业,
博彦科技,002649,I信息技术,
加加食品,002650,C制造业,
利君股份,002651,C制造业,
扬子新材,002652,C制造业,
海思科,002653,C制造业,
万润科技,002654,C制造业,
共达电声,002655,C制造业,
摩登大道,002656,C制造业,
中科金财,002657,I信息技术,
雪迪龙,002658,C制造业,
凯文教育,002659,E建筑业,
茂硕电源,002660,C制造业,
克明面业,002661,C制造业,
京威股份,002662,C制造业,
普邦股份,002663,E建筑业,
长鹰信质,002664,C制造业,
首航节能,002665,C制造业,
德联集团,002666,C制造业,
鞍重股份,002667,C制造业,
奥马电器,002668,C制造业,
康达新材,002669,C制造业,
国盛金控,002670,J金融业,
龙泉股份,002671,C制造业,
东江环保,002672,C制造业,
西部证券,002673,J金融业,
兴业科技,002674,C制造业,
东诚药业,002675,C制造业,
顺威股份,002676,C制造业,
浙江美大,002677,C制造业,
珠江钢琴,002678,C制造业,
福建金森,002679,A农林牧渔,
*ST长生,002680,C制造业,
奋达科技,002681,C制造业,
龙洲股份,002682,G运输仓储,
宏大爆破,002683,B采矿业,
猛狮科技,002684,C制造业,
华东重机,002685,C制造业,
亿利达,002686,C制造业,
乔治白,002687,C制造业,
金河生物,002688,C制造业,
远大智能,002689,C制造业,
美亚光电,002690,C制造业,
冀凯股份,002691,C制造业,
远程股份,002692,C制造业,
双成药业,002693,C制造业,
顾地科技,002694,C制造业,
煌上煌,002695,C制造业,
百洋股份,002696,A农林牧渔,
红旗连锁,002697,F批发零售,
博实股份,002698,C制造业,
美盛文化,002699,R文化传播,
新疆浩源,002700,D水电煤气,
奥瑞金,002701,C制造业,
海欣食品,002702,C制造业,
浙江世宝,002703,C制造业,
新宝股份,002705,C制造业,
良信电器,002706,C制造业,
众信旅游,002707,L商务服务,
光洋股份,002708,C制造业,
天赐材料,002709,C制造业,
欧浦智网,002711,G运输仓储,
思美传媒,002712,L商务服务,
东易日盛,002713,E建筑业,
牧原股份,002714,A农林牧渔,
登云股份,002715,C制造业,
金贵银业,002716,C制造业,
岭南股份,002717,N公共环保,
友邦吊顶,002718,C制造业,
麦趣尔,002719,C制造业,
金一文化,002721,C制造业,
金轮股份,002722,C制造业,
金莱特,002723,C制造业,
海洋王,002724,C制造业,
跃岭股份,002725,C制造业,
龙大肉食,002726,C制造业,
一心堂,002727,F批发零售,
特一药业,002728,C制造业,
好利来,002729,C制造业,
电光科技,002730,C制造业,
萃华珠宝,002731,C制造业,
燕塘乳业,002732,C制造业,
雄韬股份,002733,C制造业,
利民股份,002734,C制造业,
王子新材,002735,C制造业,
国信证券,002736,J金融业,
葵花药业,002737,C制造业,
中矿资源,002738,M科研服务,
万达电影,002739,R文化传播,
爱迪尔,002740,C制造业,
光华科技,002741,C制造业,
三圣股份,002742,C制造业,
富煌钢构,002743,C制造业,
木林森,002745,C制造业,
仙坛股份,002746,A农林牧渔,
埃斯顿,002747,C制造业,
世龙实业,002748,C制造业,
国光股份,002749,C制造业,
龙津药业,002750,C制造业,
易尚展示,002751,C制造业,
昇兴股份,002752,C制造业,
永东股份,002753,C制造业,
东方新星,002755,E建筑业,
永兴特钢,002756,C制造业,
南兴装备,002757,C制造业,
华通医药,002758,F批发零售,
天际股份,002759,C制造业,
凤形股份,002760,C制造业,
多喜爱,002761,C制造业,
金发拉比,002762,C制造业,
汇洁股份,002763,C制造业,
蓝黛传动,002765,C制造业,
索菱股份,002766,C制造业,
先锋电子,002767,C制造业,
国恩股份,002768,C制造业,
普路通,002769,L商务服务,
科迪乳业,002770,C制造业,
真视通,002771,I信息技术,
众兴菌业,002772,A农林牧渔,
康弘药业,002773,C制造业,
快意电梯,002774,C制造业,
文科园林,002775,E建筑业,
柏堡龙,002776,M科研服务,
久远银海,002777,I信息技术,
高科石化,002778,C制造业,
中坚科技,002779,C制造业,
三夫户外,002780,F批发零售,
奇信股份,002781,E建筑业,
可立克,002782,C制造业,
凯龙股份,002783,C制造业,
万里石,002785,C制造业,
银宝山新,002786,C制造业,
华源控股,002787,C制造业,
鹭燕医药,002788,F批发零售,
建艺集团,002789,E建筑业,
瑞尔特,002790,C制造业,
坚朗五金,002791,C制造业,
通宇通讯,002792,C制造业,
东音股份,002793,C制造业,
永和智控,002795,C制造业,
世嘉科技,002796,C制造业,
第一创业,002797,J金融业,
帝欧家居,002798,C制造业,
环球印务,002799,C制造业,
天顺股份,002800,G运输仓储,
微光股份,002801,C制造业,
洪汇新材,002802,C制造业,
吉宏股份,002803,C制造业,
丰元股份,002805,C制造业,
华锋股份,002806,C制造业,
江阴银行,002807,J金融业,
恒久科技,002808,C制造业,
红墙股份,002809,C制造业,
山东赫达,002810,C制造业,
亚泰国际,002811,E建筑业,
恩捷股份,002812,C制造业,
路畅科技,002813,C制造业,
崇达技术,002815,C制造业,
和科达,002816,C制造业,
黄山胶囊,002817,C制造业,
富森美,002818,L商务服务,
东方中科,002819,F批发零售,
桂发祥,002820,C制造业,
凯莱英,002821,C制造业,
中装建设,002822,E建筑业,
凯中精密,002823,C制造业,
和胜股份,002824,C制造业,
纳尔股份,002825,C制造业,
易明医药,002826,C制造业,
高争民爆,002827,C制造业,
贝肯能源,002828,B采矿业,
星网宇达,002829,C制造业,
名雕股份,002830,E建筑业,
裕同科技,002831,C制造业,
比音勒芬,002832,C制造业,
弘亚数控,002833,C制造业,
同为股份,002835,C制造业,
新宏泽,002836,C制造业,
英维克,002837,C制造业,
道恩股份,002838,C制造业,
张家港行,002839,J金融业,
华统股份,002840,C制造业,
视源股份,002841,C制造业,
翔鹭钨业,002842,C制造业,
泰嘉股份,002843,C制造业,
同兴达,002845,C制造业,
英联股份,002846,C制造业,
盐津铺子,002847,C制造业,
高斯贝尔,002848,C制造业,
威星智能,002849,C制造业,
科达利,002850,C制造业,
麦格米特,002851,C制造业,
道道全,002852,C制造业,
皮阿诺,002853,C制造业,
捷荣技术,002855,C制造业,
美芝股份,002856,E建筑业,
三晖电气,002857,C制造业,
力盛赛车,002858,R文化传播,
洁美科技,002859,C制造业,
星帅尔,002860,C制造业,
瀛通通讯,002861,C制造业,
实丰文化,002862,C制造业,
今飞凯达,002863,C制造业,
盘龙药业,002864,C制造业,
钧达股份,002865,C制造业,
传艺科技,002866,C制造业,
周大生,002867,F批发零售,
绿康生化,002868,C制造业,
金溢科技,002869,C制造业,
香山股份,002870,C制造业,
伟隆股份,002871,C制造业,
天圣制药,002872,F批发零售,
新天药业,002873,C制造业,
安奈儿,002875,C制造业,
三利谱,002876,C制造业,
智能自控,002877,C制造业,
元隆雅图,002878,L商务服务,
长缆科技,002879,C制造业,
卫光生物,002880,C制造业,
美格智能,002881,C制造业,
金龙羽,002882,C制造业,
中设股份,002883,M科研服务,
凌霄泵业,002884,C制造业,
京泉华,002885,C制造业,
沃特股份,002886,C制造业,
绿茵生态,002887,N公共环保,
惠威科技,002888,C制造业,
东方嘉盛,002889,L商务服务,
弘宇股份,002890,C制造业,
中宠股份,002891,C制造业,
科力尔,002892,C制造业,
华通热力,002893,D水电煤气,
川恒股份,002895,C制造业,
中大力德,002896,C制造业,
意华股份,002897,C制造业,
赛隆药业,002898,C制造业,
英派斯,002899,C制造业,
哈三联,002900,C制造业,
大博医疗,002901,C制造业,
铭普光磁,002902,C制造业,
宇环数控,002903,C制造业,
金逸影视,002905,R文化传播,
华阳集团,002906,C制造业,
华森制药,002907,C制造业,
德生科技,002908,I信息技术,
集泰股份,002909,C制造业,
庄园牧场,002910,C制造业,
佛燃股份,002911,D水电煤气,
中新赛克,002912,I信息技术,
奥士康,002913,C制造业,
中欣氟材,002915,C制造业,
深南电路,002916,C制造业,
金奥博,002917,C制造业,
蒙娜丽莎,002918,C制造业,
名臣健康,002919,C制造业,
德赛西威,002920,C制造业,
联诚精密,002921,C制造业,
伊戈尔,002922,C制造业,
润都股份,002923,C制造业,
盈趣科技,002925,C制造业,
华西证券,002926,J金融业,
泰永长征,002927,C制造业,
华夏航空,002928,G运输仓储,
润建通信,002929,I信息技术,
宏川智慧,002930,G运输仓储,
锋龙股份,002931,C制造业,
明德生物,002932,C制造业,
新兴装备,002933,C制造业,
天奥电子,002935,C制造业,
郑州银行,002936,J金融业,
兴瑞科技,002937,C制造业,
鹏鼎控股,002938,C制造业,
长城证券,002939,J金融业,
昂利康,002940,C制造业,
新疆交建,002941,E建筑业,
新农股份,002942,C制造业,
宇晶股份,002943,C制造业,
华林证券,002945,J金融业,
新乳业,002946,C制造业,
恒铭达,002947,C制造业,
青岛银行,002948,J金融业,
特锐德,300001,C制造业,
神州泰岳,300002,I信息技术,
乐普医疗,300003,C制造业,
南风股份,300004,C制造业,
探路者,300005,C制造业,
莱美药业,300006,C制造业,
汉威科技,300007,C制造业,
天海防务,300008,M科研服务,
安科生物,300009,C制造业,
立思辰,300010,I信息技术,
鼎汉技术,300011,C制造业,
华测检测,300012,M科研服务,
新宁物流,300013,G运输仓储,
亿纬锂能,300014,C制造业,
爱尔眼科,300015,Q卫生,
北陆药业,300016,C制造业,
网宿科技,300017,I信息技术,
中元股份,300018,C制造业,
硅宝科技,300019,C制造业,
银江股份,300020,I信息技术,
大禹节水,300021,C制造业,
吉峰科技,300022,F批发零售,
宝德股份,300023,L商务服务,
机器人,300024,C制造业,
华星创业,300025,I信息技术,
红日药业,300026,C制造业,
华谊兄弟,300027,R文化传播,
金亚科技,300028,C制造业,
天龙光电,300029,C制造业,
阳普医疗,300030,C制造业,
宝通科技,300031,I信息技术,
金龙机电,300032,C制造业,
同花顺,300033,I信息技术,
钢研高纳,300034,C制造业,
中科电气,300035,C制造业,
超图软件,300036,I信息技术,
新宙邦,300037,C制造业,
数知科技,300038,I信息技术,
上海凯宝,300039,C制造业,
九洲电气,300040,C制造业,
回天新材,300041,C制造业,
朗科科技,300042,C制造业,
星辉娱乐,300043,I信息技术,
赛为智能,300044,I信息技术,
华力创通,300045,C制造业,
台基股份,300046,C制造业,
天源迪科,300047,I信息技术,
合康新能,300048,C制造业,
福瑞股份,300049,C制造业,
世纪鼎利,300050,I信息技术,
三五互联,300051,I信息技术,
中青宝,300052,I信息技术,
欧比特,300053,C制造业,
鼎龙股份,300054,C制造业,
万邦达,300055,E建筑业,
三维丝,300056,C制造业,
万顺股份,300057,C制造业,
蓝色光标,300058,L商务服务,
东方财富,300059,I信息技术,
康旗股份,300061,C制造业,
中能电气,300062,C制造业,
天龙集团,300063,L商务服务,
豫金刚石,300064,C制造业,
海兰信,300065,C制造业,
三川智慧,300066,C制造业,
安诺其,300067,C制造业,
南都电源,300068,C制造业,
金利华电,300069,C制造业,
碧水源,300070,N公共环保,
华谊嘉信,300071,L商务服务,
三聚环保,300072,C制造业,
当升科技,300073,C制造业,
华平股份,300074,I信息技术,
数字政通,300075,I信息技术,
GQY视讯,300076,C制造业,
国民技术,300077,C制造业,
思创医惠,300078,C制造业,
数码科技,300079,C制造业,
易成新能,300080,C制造业,
恒信东方,300081,M科研服务,
奥克股份,300082,C制造业,
劲胜智能,300083,C制造业,
海默科技,300084,B采矿业,
银之杰,300085,I信息技术,
康芝药业,300086,C制造业,
荃银高科,300087,A农林牧渔,
长信科技,300088,C制造业,
文化长城,300089,C制造业,
盛运环保,300090,C制造业,
金通灵,300091,C制造业,
科新机电,300092,C制造业,
金刚玻璃,300093,C制造业,
国联水产,300094,A农林牧渔,
华伍股份,300095,C制造业,
易联众,300096,I信息技术,
智云股份,300097,C制造业,
高新兴,300098,I信息技术,
精准信息,300099,C制造业,
双林股份,300100,C制造业,
振芯科技,300101,C制造业,
乾照光电,300102,C制造业,
达刚路机,300103,C制造业,
乐视网,300104,I信息技术,
龙源技术,300105,C制造业,
西部牧业,300106,A农林牧渔,
建新股份,300107,C制造业,
吉药控股,300108,C制造业,
新开源,300109,C制造业,
华仁药业,300110,C制造业,
向日葵,300111,C制造业,
万讯自控,300112,C制造业,
顺网科技,300113,I信息技术,
中航电测,300114,C制造业,
长盈精密,300115,C制造业,
坚瑞沃能,300116,C制造业,
嘉寓股份,300117,E建筑业,
东方日升,300118,C制造业,
瑞普生物,300119,C制造业,
经纬辉开,300120,C制造业,
阳谷华泰,300121,C制造业,
智飞生物,300122,C制造业,
亚光科技,300123,C制造业,
汇川技术,300124,C制造业,
易世达,300125,M科研服务,
锐奇股份,300126,C制造业,
银河磁体,300127,C制造业,
锦富技术,300128,C制造业,
泰胜风能,300129,C制造业,
新国都,300130,C制造业,
英唐智控,300131,F批发零售,
青松股份,300132,C制造业,
华策影视,300133,R文化传播,
大富科技,300134,C制造业,
宝利国际,300135,C制造业,
信维通信,300136,C制造业,
先河环保,300137,C制造业,
晨光生物,300138,C制造业,
晓程科技,300139,C制造业,
中环装备,300140,C制造业,
和顺电气,300141,C制造业,
沃森生物,300142,C制造业,
星普医科,300143,C制造业,
宋城演艺,300144,R文化传播,
中金环境,300145,C制造业,
汤臣倍健,300146,C制造业,
香雪制药,300147,C制造业,
天舟文化,300148,R文化传播,
量子生物,300149,M科研服务,
世纪瑞尔,300150,I信息技术,
昌红科技,300151,C制造业,
科融环境,300152,N公共环保,
科泰电源,300153,C制造业,
瑞凌股份,300154,C制造业,
安居宝,300155,C制造业,
神雾环保,300156,C制造业,
恒泰艾普,300157,B采矿业,
振东制药,300158,C制造业,
新研股份,300159,C制造业,
秀强股份,300160,C制造业,
华中数控,300161,C制造业,
雷曼股份,300162,C制造业,
先锋新材,300163,C制造业,
通源石油,300164,B采矿业,
天瑞仪器,300165,C制造业,
东方国信,300166,I信息技术,
迪威迅,300167,I信息技术,
万达信息,300168,I信息技术,
天晟新材,300169,C制造业,
汉得信息,300170,I信息技术,
东富龙,300171,C制造业,
中电环保,300172,N公共环保,
智慧松德,300173,C制造业,
元力股份,300174,C制造业,
朗源股份,300175,C制造业,
鸿特科技,300176,C制造业,
中海达,300177,C制造业,
腾邦国际,300178,L商务服务,
四方达,300179,C制造业,
华峰超纤,300180,C制造业,
佐力药业,300181,C制造业,
捷成股份,300182,R文化传播,
东软载波,300183,I信息技术,
力源信息,300184,F批发零售,
通裕重工,300185,C制造业,
永清环保,300187,N公共环保,
美亚柏科,300188,I信息技术,
神农基因,300189,A农林牧渔,
维尔利,300190,N公共环保,
潜能恒信,300191,B采矿业,
科斯伍德,300192,C制造业,
佳士科技,300193,C制造业,
福安药业,300194,C制造业,
长荣股份,300195,C制造业,
长海股份,300196,C制造业,
铁汉生态,300197,N公共环保,
纳川股份,300198,C制造业,
翰宇药业,300199,C制造业,
高盟新材,300200,C制造业,
海伦哲,300201,C制造业,
聚龙股份,300202,C制造业,
聚光科技,300203,C制造业,
舒泰神,300204,C制造业,
天喻信息,300205,C制造业,
理邦仪器,300206,C制造业,
欣旺达,300207,C制造业,
青岛中程,300208,C制造业,
天泽信息,300209,I信息技术,
森远股份,300210,C制造业,
亿通科技,300211,C制造业,
易华录,300212,I信息技术,
佳讯飞鸿,300213,C制造业,
日科化学,300214,C制造业,
电科院,300215,M科研服务,
千山药机,300216,C制造业,
东方电热,300217,C制造业,
安利股份,300218,C制造业,
鸿利智汇,300219,C制造业,
金运激光,300220,C制造业,
银禧科技,300221,C制造业,
科大智能,300222,C制造业,
北京君正,300223,C制造业,
正海磁材,300224,C制造业,
金力泰,300225,C制造业,
上海钢联,300226,I信息技术,
光韵达,300227,C制造业,
富瑞特装,300228,C制造业,
拓尔思,300229,I信息技术,
永利股份,300230,C制造业,
银信科技,300231,I信息技术,
洲明科技,300232,C制造业,
金城医药,300233,C制造业,
开尔新材,300234,C制造业,
方直科技,300235,I信息技术,
上海新阳,300236,C制造业,
美晨生态,300237,E建筑业,
冠昊生物,300238,C制造业,
东宝生物,300239,C制造业,
飞力达,300240,G运输仓储,
瑞丰光电,300241,C制造业,
佳云科技,300242,I信息技术,
瑞丰高材,300243,C制造业,
迪安诊断,300244,Q卫生,
天玑科技,300245,I信息技术,
宝莱特,300246,C制造业,
融捷健康,300247,C制造业,
新开普,300248,I信息技术,
依米康,300249,I信息技术,
初灵信息,300250,I信息技术,
光线传媒,300251,R文化传播,
金信诺,300252,C制造业,
卫宁健康,300253,I信息技术,
仟源医药,300254,C制造业,
常山药业,300255,C制造业,
星星科技,300256,C制造业,
开山股份,300257,C制造业,
精锻科技,300258,C制造业,
新天科技,300259,C制造业,
新莱应材,300260,C制造业,
雅本化学,300261,C制造业,
巴安水务,300262,N公共环保,
隆华科技,300263,C制造业,
佳创视讯,300264,I信息技术,
通光线缆,300265,C制造业,
兴源环境,300266,N公共环保,
尔康制药,300267,C制造业,
佳沃股份,300268,C制造业,
联建光电,300269,L商务服务,
中威电子,300270,C制造业,
华宇软件,300271,I信息技术,
开能健康,300272,C制造业,
和佳股份,300273,C制造业,
阳光电源,300274,C制造业,
梅安森,300275,I信息技术,
三丰智能,300276,C制造业,
海联讯,300277,I信息技术,
华昌达,300278,C制造业,
和晶科技,300279,C制造业,
紫天科技,300280,C制造业,
金明精机,300281,C制造业,
三盛教育,300282,C制造业,
温州宏丰,300283,C制造业,
苏交科,300284,M科研服务,
国瓷材料,300285,C制造业,
安科瑞,300286,C制造业,
飞利信,300287,I信息技术,
朗玛信息,300288,I信息技术,
利德曼,300289,C制造业,
荣科科技,300290,I信息技术,
华录百纳,300291,R文化传播,
吴通控股,300292,I信息技术,
蓝英装备,300293,C制造业,
博雅生物,300294,C制造业,
三六五网,300295,I信息技术,
利亚德,300296,C制造业,
蓝盾股份,300297,I信息技术,
三诺生物,300298,C制造业,
富春股份,300299,I信息技术,
汉鼎宇佑,300300,I信息技术,
长方集团,300301,C制造业,
同有科技,300302,I信息技术,
聚飞光电,300303,C制造业,
云意电气,300304,C制造业,
裕兴股份,300305,C制造业,
远方信息,300306,C制造业,
慈星股份,300307,C制造业,
中际旭创,300308,C制造业,
吉艾科技,300309,J金融业,
宜通世纪,300310,I信息技术,
任子行,300311,I信息技术,
邦讯技术,300312,I信息技术,
天山生物,300313,L商务服务,
戴维医疗,300314,C制造业,
掌趣科技,300315,I信息技术,
晶盛机电,300316,C制造业,
珈伟新能,300317,C制造业,
博晖创新,300318,C制造业,
麦捷科技,300319,C制造业,
海达股份,300320,C制造业,
同大股份,300321,C制造业,
硕贝德,300322,C制造业,
华灿光电,300323,C制造业,
旋极信息,300324,I信息技术,
德威新材,300325,C制造业,
凯利泰,300326,C制造业,
中颖电子,300327,C制造业,
宜安科技,300328,C制造业,
海伦钢琴,300329,C制造业,
华虹计通,300330,I信息技术,
苏大维格,300331,C制造业,
天壕环境,300332,D水电煤气,
兆日科技,300333,I信息技术,
津膜科技,300334,C制造业,
迪森股份,300335,D水电煤气,
新文化,300336,R文化传播,
银邦股份,300337,C制造业,
开元股份,300338,P教育,
润和软件,300339,I信息技术,
科恒股份,300340,C制造业,
麦克奥迪,300341,C制造业,
天银机电,300342,C制造业,
联创互联,300343,I信息技术,
太空智造,300344,C制造业,
红宇新材,300345,C制造业,
南大光电,300346,C制造业,
泰格医药,300347,Q卫生,
长亮科技,300348,I信息技术,
金卡智能,300349,I信息技术,
华鹏飞,300350,I信息技术,
永贵电器,300351,C制造业,
北信源,300352,I信息技术,
东土科技,300353,C制造业,
东华测试,300354,C制造业,
蒙草生态,300355,N公共环保,
光一科技,300356,C制造业,
我武生物,300357,C制造业,
楚天科技,300358,C制造业,
全通教育,300359,I信息技术,
炬华科技,300360,C制造业,
天翔环境,300362,C制造业,
博腾股份,300363,C制造业,
中文在线,300364,R文化传播,
恒华科技,300365,I信息技术,
创意信息,300366,I信息技术,
东方网力,300367,C制造业,
汇金股份,300368,C制造业,
绿盟科技,300369,I信息技术,
安控科技,300370,C制造业,
汇中股份,300371,C制造业,
扬杰科技,300373,C制造业,
恒通科技,300374,C制造业,
鹏翎股份,300375,C制造业,
易事特,300376,C制造业,
赢时胜,300377,I信息技术,
鼎捷软件,300378,I信息技术,
东方通,300379,I信息技术,
安硕信息,300380,I信息技术,
溢多利,300381,C制造业,
斯莱克,300382,C制造业,
光环新网,300383,I信息技术,
三联虹普,300384,M科研服务,
雪浪环境,300385,C制造业,
飞天诚信,300386,I信息技术,
富邦股份,300387,C制造业,
国祯环保,300388,N公共环保,
艾比森,300389,C制造业,
天华超净,300390,C制造业,
康跃科技,300391,C制造业,
腾信股份,300392,I信息技术,
中来股份,300393,C制造业,
天孚通信,300394,C制造业,
菲利华,300395,C制造业,
迪瑞医疗,300396,C制造业,
天和防务,300397,C制造业,
飞凯材料,300398,C制造业,
京天利,300399,I信息技术,
劲拓股份,300400,C制造业,
花园生物,300401,C制造业,
宝色股份,300402,C制造业,
汉宇集团,300403,C制造业,
博济医药,300404,M科研服务,
科隆股份,300405,C制造业,
九强生物,300406,C制造业,
凯发电气,300407,C制造业,
三环集团,300408,C制造业,
道氏技术,300409,C制造业,
正业科技,300410,C制造业,
金盾股份,300411,C制造业,
迦南科技,300412,C制造业,
芒果超媒,300413,R文化传播,
中光防雷,300414,C制造业,
伊之密,300415,C制造业,
苏试试验,300416,C制造业,
南华仪器,300417,C制造业,
昆仑万维,300418,I信息技术,
浩丰科技,300419,I信息技术,
五洋停车,300420,C制造业,
力星股份,300421,C制造业,
博世科,300422,N公共环保,
鲁亿通,300423,C制造业,
航新科技,300424,C制造业,
环能科技,300425,C制造业,
唐德影视,300426,R文化传播,
红相股份,300427,C制造业,
四通新材,300428,C制造业,
强力新材,300429,C制造业,
诚益通,300430,C制造业,
暴风集团,300431,I信息技术,
富临精工,300432,C制造业,
蓝思科技,300433,C制造业,
金石东方,300434,C制造业,
中泰股份,300435,C制造业,
广生堂,300436,C制造业,
清水源,300437,C制造业,
鹏辉能源,300438,C制造业,
