公司简称,A股代码,所属行业,
顺发恒业,000631,K房地产,
三木集团,000632,F批发零售,
合金投资,000633,C制造业,
英力特,000635,C制造业,
风华高科,000636,C制造业,
茂化实华,000637,C制造业,
万方发展,000638,I信息技术,
西王食品,000639,C制造业,
仁和药业,000650,C制造业,
格力电器,000651,C制造业,
泰达股份,000652,F批发零售,
*ST金岭,000655,B采矿业,
金科股份,000656,K房地产,
中钨高新,000657,C制造业,
珠海中富,000659,C制造业,
长春高新,000661,C制造业,
天夏智慧,000662,I信息技术,
永安林业,000663,C制造业,
湖北广电,000665,R文化传播,
经纬纺机,000666,C制造业,
美好置业,000667,K房地产,
荣丰控股,000668,K房地产,
金鸿控股,000669,D水电煤气,
盈方微,000670,C制造业,
阳光城,000671,K房地产,
上峰水泥,000672,C制造业,
当代东方,000673,R文化传播,
智度股份,000676,I信息技术,
恒天海龙,000677,C制造业,
襄阳轴承,000678,C制造业,
大连友谊,000679,F批发零售,
山推股份,000680,C制造业,
视觉中国,000681,R文化传播,
东方电子,000682,C制造业,
远兴能源,000683,C制造业,
中山公用,000685,D水电煤气,
东北证券,000686,J金融业,
华讯方舟,000687,C制造业,
国城矿业,000688,B采矿业,
宝新能源,000690,D水电煤气,
亚太实业,000691,K房地产,
惠天热电,000692,D水电煤气,
*ST华泽,000693,B采矿业,
滨海能源,000695,D水电煤气,
炼石航空,000697,C制造业,
沈阳化工,000698,C制造业,
模塑科技,000700,C制造业,
厦门信达,000701,F批发零售,
正虹科技,000702,C制造业,
恒逸石化,000703,C制造业,
浙江震元,000705,F批发零售,
*ST双环,000707,C制造业,
大冶特钢,000708,C制造业,
河钢股份,000709,C制造业,
贝瑞基因,000710,M科研服务,
京蓝科技,000711,E建筑业,
锦龙股份,000712,J金融业,
丰乐种业,000713,A农林牧渔,
中兴商业,000715,F批发零售,
黑芝麻,000716,C制造业,
韶钢松山,000717,C制造业,
苏宁环球,000718,K房地产,
中原传媒,000719,R文化传播,
*ST新能,000720,D水电煤气,
西安饮食,000721,H住宿餐饮,
湖南发展,000722,D水电煤气,
美锦能源,000723,C制造业,
京东方Ａ,000725,C制造业,
鲁泰Ａ,000726,C制造业,
华东科技,000727,C制造业,
国元证券,000728,J金融业,
燕京啤酒,000729,C制造业,
四川美丰,000731,C制造业,
泰禾集团,000732,K房地产,
振华科技,000733,C制造业,
罗牛山,000735,A农林牧渔,
